Date and Time,Temperature,pH,Turbidity (NTU),Disease,Chemicals
1/15/2023 16:00,27.99,7.11,20,Aeromonas,Good
1/15/2023 16:01,27.99,7.11,20,Aeromonas,Good
1/15/2023 16:02,28.98,7.11,20,Aeromonas,Good
1/15/2023 16:03,28.98,7.11,20,Aeromonas,Good
1/15/2023 16:04,28.98,7.11,20,Aeromonas,Good
1/15/2023 16:05,29.97,7.11,20,Aeromonas,Good
1/15/2023 16:06,29.97,7.11,20,Aeromonas,Good
1/15/2023 16:07,29.95,7.11,20,Aeromonas,Good
1/15/2023 16:08,28.94,7.11,20,Aeromonas,Good
1/15/2023 16:10,28.93,7.11,20,Aeromonas,Good
1/15/2023 16:11,29.92,7.11,20,Aeromonas,Good
1/15/2023 16:12,29.93,7.11,20,Aeromonas,Good
1/15/2023 16:13,29.93,7.11,20,Aeromonas,Good
1/15/2023 16:14,29.91,7.1,20,Aeromonas,Good
1/15/2023 16:15,28.9,7.1,20,Aeromonas,Good
1/15/2023 16:16,28.9,7.1,20,Aeromonas,Good
1/15/2023 16:17,28.89,7.1,20,Aeromonas,Good
1/15/2023 16:18,27.9,7.1,20,Aeromonas,Good
1/15/2023 16:19,27.89,7.1,20,Aeromonas,Good
1/15/2023 16:20,28.88,7.1,20,Aeromonas,Good
1/15/2023 16:21,27.16,7.1,20,Aeromonas,Good
1/15/2023 16:22,27.85,7.1,20,Aeromonas,Good
1/15/2023 16:23,27.84,7.1,20,Aeromonas,Good
1/15/2023 16:23,27.81,7.1,20,Aeromonas,Good
1/15/2023 16:24,29.79,7.09,20,Aeromonas,Good
1/15/2023 16:25,29.75,7.09,20,Aeromonas,Good
1/15/2023 16:26,29.75,7.09,20,Aeromonas,Good
1/15/2023 16:27,29.74,7.09,20,Aeromonas,Good
1/15/2023 16:28,29.75,7.09,20,Aeromonas,Good
1/15/2023 16:29,29.74,7.09,20,Aeromonas,Good
1/15/2023 16:30,29.71,7.09,20,Aeromonas,Good
1/15/2023 16:31,28.69,7.09,20,Aeromonas,Good
1/15/2023 16:32,28.68,7.09,20,Aeromonas,Good
1/15/2023 16:33,28.65,7.08,20,Aeromonas,Good
1/15/2023 16:34,29.67,7.08,20,Aeromonas,Good
1/15/2023 16:35,28.64,7.08,20,Aeromonas,Good
1/15/2023 16:36,28.66,7.08,20,Aeromonas,Good
1/15/2023 16:37,28.63,7.08,20,Aeromonas,Good
1/15/2023 16:38,28.6,7.08,20,Aeromonas,Good
1/15/2023 16:39,28.6,7.08,20,Aeromonas,Good
1/15/2023 16:41,28.59,7.08,20,Aeromonas,Good
1/15/2023 16:42,28.6,7.08,20,Aeromonas,Good
1/15/2023 16:43,28.6,7.08,20,Aeromonas,Good
1/16/2023 16:44,25.58,7.77,20,Optimal,Good
